expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"-1 * CS_RANK((TS_STD(ABS($close - $open), 5) + ($close - $open)) + TS_CORR($close, $open, 10))",alpha101,0.01511563612442512,12.112571658496911,4519,0.3879841138794391,0.4210660735360637,
"(TS_CORR(TS_MEAN($dollar_volume, 20), $low, 5) + (($high + $low) / 2)) - $close",alpha101,0.012911849361003999,11.822039179149993,4505,0.6078281018330941,0.41963680429593814,
CS_RANK(-1 * (1 - ($open / ($close + 1e-8)))),alpha101,0.014523460873225466,10.909458506637197,4528,0.23299532270272244,0.42263588220756604,
"CS_RANK(TS_CORR(DELAY($open - $close, 1), $close, 200)) + CS_RANK($open - $close)",alpha101,0.012394874643672551,10.780542714095066,4328,0.6106892535732746,0.38923073051467244,
($close - $open) / (($high - $low) + 0.001),alpha101,-0.012659524630590483,-10.163845355529505,4528,0.2914523458759724,0.42263588220756604,
"(-1 * (($low - $close) * POWER($open, 5))) / (((($low - $high) * POWER($close, 5))) + 1e-8)",alpha101,0.009998052208018943,9.627349453836702,4528,0.30621825100099265,0.42263588220756604,
"(-1 * CS_RANK(TS_RANK($close, 10))) * CS_RANK($close / ($open + 1e-8))",alpha101,0.014581118527724313,9.462519372218853,4519,0.4720142277239484,0.42121345281120803,
"-1 * CS_RANK(TS_COV(CS_RANK($high), CS_RANK($volume), 5))",alpha101,0.006874049424115971,8.16601673653743,4524,0.6282215566380767,0.42263691463681397,
"MIN(CS_RANK(TS_DECAY_LINEAR((CS_RANK($open) + CS_RANK($low)) - (CS_RANK($high) + CS_RANK($close)), 8)), TS_RANK(TS_DECAY_LINEAR(TS_CORR(TS_RANK($close, 8), TS_RANK(TS_MEAN($dollar_volume, 60), 21), 8), 7), 3))",alpha101,0.007750013261380195,8.072264466397321,4434,0.8222642311959415,0.31274450021713274,
"CS_RANK((1 - CS_RANK(TS_STD($return, 2) / (TS_STD($return, 5) + 1e-8))) + (1 - CS_RANK(TS_DELTA($close, 1))))",alpha101,0.01147526502126288,7.496115237981428,4523,0.07487018656509056,0.42248101782037406,
"-1 * TS_CORR($high, CS_RANK($volume), 5)",alpha101,0.006654279873249856,7.200984734658593,4524,0.642340892400543,0.42218083901653375,
"IF_ELSE(TS_DELTA(TS_MEAN($close, 100), 100) / (DELAY($close, 100) + 1e-8) <= 0.05, -1 * ($close - TS_MIN($close, 100)), -1 * TS_DELTA($close, 3))",alpha101,0.012352426869395479,7.129275447147094,4329,0.9366131857542658,0.3926552983301102,
"(TS_RANK($volume, 32) * (1 - TS_RANK(($close + $high) - $low, 16))) * (1 - TS_RANK($return, 32))",alpha101,0.01171035379469277,7.054507576954028,4496,0.36859012841639893,0.4182245701384036,
"-1 * CS_RANK(TS_COV(CS_RANK($close), CS_RANK($volume), 5))",alpha101,0.0059612973539677,6.770035178067355,4524,0.6451250506082125,0.4226392376026219,
"-1 * TS_SUM(CS_RANK(TS_CORR(CS_RANK($high), CS_RANK($volume), 3)), 3)",alpha101,0.005223621380884382,6.667098873434328,4524,0.7874094919878066,0.41281580236206905,
"CS_RANK(TS_ARGMAX(SIGN(IF_ELSE($return < 0, TS_STD($return, 20), $close)) * POWER(ABS(IF_ELSE($return < 0, TS_STD($return, 20), $close)), 2), 5)) - 0.5",alpha101,0.009144077955375226,6.216078581556853,4506,0.437709165428086,0.41969991153371883,
"IF_ELSE(TS_MIN(TS_DELTA($close, 1), 5) > 0, TS_DELTA($close, 1), IF_ELSE(TS_MAX(TS_DELTA($close, 1), 5) < 0, TS_DELTA($close, 1), -1 * TS_DELTA($close, 1)))",alpha101,0.010372229143387804,6.014854096575197,4523,-0.01469622897622334,0.42248101782037406,
"(((1.0 - CS_RANK((SIGN($close - DELAY($close, 1)) + SIGN(DELAY($close, 1) - DELAY($close, 2))) + SIGN(DELAY($close, 2) - DELAY($close, 3)))) * TS_SUM($volume, 5)) / (TS_SUM($volume, 20) + 1e-8))",alpha101,0.008791481359049946,5.971250780081765,4509,0.6958164194282036,0.42027174828342506,
"(-1 * SIGN(($close - DELAY($close, 7)) + TS_DELTA($close, 7))) * (1 + CS_RANK(1 + TS_SUM($return, 250)))",alpha101,0.010852375187667369,5.922698431529022,4278,0.648478351293632,0.38514682757076496,
"IF_ELSE(TS_RANK(TS_CORR(CS_RANK($high), CS_RANK(TS_MEAN($dollar_volume, 15)), 9), 14) < CS_RANK(TS_DELTA(($close * 0.518371) + ($low * 0.481629), 1)), 1, 0) * -1",alpha101,0.006427732948331887,5.616744135539704,4493,0.3902112433076321,0.3979552738744424,
"IF_ELSE(TS_MEAN($high, 20) < $high, -1 * TS_DELTA($high, 2), 0)",alpha101,0.007517197566583998,5.203575833479663,4509,0.4439481343149739,0.42026361790309746,
"IF_ELSE(TS_MEAN($close, 8) + TS_STD($close, 8) < TS_MEAN($close, 2), -1, IF_ELSE(TS_MEAN($close, 2) < TS_MEAN($close, 8) - TS_STD($close, 8), 1, IF_ELSE($volume / (TS_MEAN($volume, 20) + 1e-8) >= 1, 1, -1)))",alpha101,0.006029223687580892,4.9142485823046185,4519,0.40888247163307856,0.4210181946296902,
"TS_RANK($volume / (TS_MEAN($volume, 20) + 1e-8), 20) * TS_RANK(-1 * TS_DELTA($close, 7), 8)",alpha101,0.006749746840374447,4.878000627695364,4490,0.536217037640198,0.4172902216690122,
"-1 * TS_CORR(CS_RANK(TS_DELTA(LOG($volume), 2)), CS_RANK(($close - $open) / ($open + 1e-8)), 6)",alpha101,0.004084993763231897,4.7693476908047066,4521,0.7830988907463668,0.41593967515904245,
"-1 * CS_RANK((TS_SUM($open, 5) * TS_SUM($return, 5)) - DELAY(TS_SUM($open, 5) * TS_SUM($return, 5), 10))",alpha101,0.0081235348162254,4.585730664372606,4513,0.7441815398936649,0.4201167548425771,
"-1 * TS_RANK(CS_RANK($low), 9)",alpha101,0.00826603905556701,4.460270667631141,4520,0.683197251225998,0.422002874024919,
"-1 * TS_MAX(TS_CORR(TS_RANK($volume, 5), TS_RANK($high, 5), 5), 3)",alpha101,0.004967094563090513,4.427676131643626,4518,0.8096240352103367,0.38560509710319707,
"IF_ELSE(((DELAY($close, 20) - DELAY($close, 10)) / 10) - ((DELAY($close, 10) - $close) / 10) > 0.25, -1, IF_ELSE(((DELAY($close, 20) - DELAY($close, 10)) / 10) - ((DELAY($close, 10) - $close) / 10) < 0, 1, -1 * ($close - DELAY($close, 1))))",alpha101,0.006220187960333623,4.102789920316267,4508,0.5069138613310895,0.4201352095153842,
"IF_ELSE(TS_MEAN($volume, 20) < $volume, -1 * TS_RANK(ABS(TS_DELTA($close, 7)), 60) * SIGN(TS_DELTA($close, 7)), -1)",alpha101,0.004463748315378811,3.943349277815648,4461,0.4619450057703773,0.41739036730606294,
"(((-1 * TS_MIN($low, 5)) + DELAY(TS_MIN($low, 5), 5)) * CS_RANK((TS_SUM($return, 240) - TS_SUM($return, 20)) / 220)) * TS_RANK($volume, 5)",alpha101,0.006882546603699241,3.8865783632718696,4288,0.7341069669703641,0.3865958420202576,
"CS_RANK(IF_ELSE(TS_MIN(TS_DELTA($close, 1), 4) > 0, TS_DELTA($close, 1), IF_ELSE(TS_MAX(TS_DELTA($close, 1), 4) < 0, TS_DELTA($close, 1), -1 * TS_DELTA($close, 1))))",alpha101,0.006111429250332192,3.770221760419758,4524,-0.015771619423992318,0.4226392376026219,
"-1 * TS_CORR(CS_RANK($open), CS_RANK($volume), 10)",alpha101,0.002806345630945761,3.337151356387939,4519,0.8473844515007379,0.4179419426317783,
"-1 * (TS_DELTA(TS_CORR($high, $volume, 5), 5) * CS_RANK(TS_STD($close, 20)))",alpha101,0.0033662204519841845,3.191355465023371,4509,0.6312661269594789,0.42026026250804166,
"(-1 * CS_RANK(TS_STD($high, 10))) * TS_CORR($high, $volume, 10)",alpha101,0.00392106337316678,3.0368478194077535,4519,0.8692922843310288,0.4218443961353592,
"IF_ELSE(((DELAY($close, 20) - DELAY($close, 10)) / 10) - ((DELAY($close, 10) - $close) / 10) < -0.1, 1, -1 * ($close - DELAY($close, 1)))",alpha101,0.0048091246995200605,2.9745779475941028,4508,0.18843630621756327,0.4201345642471042,
"(-1 * CS_RANK(TS_DELTA($close, 7) * (1 - CS_RANK(TS_DECAY_LINEAR($volume / (TS_MEAN($volume, 20) + 1e-8), 9))))) * (1 + CS_RANK(TS_SUM($return, 250)))",alpha101,0.0056914636039246454,2.9430619532675797,4278,0.7851047500713658,0.38514682757076496,
"-1 * TS_DELTA((($close - $low) - ($high - $close)) / (($close - $low) + 1e-8), 9)",alpha101,0.0035458732126839657,2.919690491223126,4519,0.02076329820630859,0.4218567852863346,
