expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"IF_ELSE((BOUND($close, -3, 3) > ($high + $open)), ($open - $high), ($close - $low))",random-grammar-seed3,-0.014303494434868173,-12.413793400705032,4528,0.5107113548481531,0.42263588220756604,
"((TS_SUM(($open - $close), 10) * IF(($high <= 0), ($volume + $dollar_volume), $dollar_volume)) / (IF_ELSE((($dollar_volume - $dollar_volume) > 0), $low, ($open + $low)) + 1e-8))",random-grammar-seed3,0.012274273145738451,9.929616561456454,4519,0.7344929450540185,0.4210660735360637,
"MIN(($volume - $volume), ($close - $high))",random-grammar-seed3,-0.011683822509210774,-9.805984986128834,4528,0.5019958098319447,0.4232763755022607,
"TS_DECAY_LINEAR(((IF_ELSE((($high + $open) >= $open), ($low - $close), $high) - TS_RANK($dollar_volume, 252)) - LN($dollar_volume)), 21)",random-grammar-seed3,0.012472900062199853,9.740167029400778,4257,0.9915407151777249,0.38135716696252214,
"POWER((COUNT((($low - $close) < 0), 252) + POWER($low, 0.25)), 1)",random-grammar-seed3,-0.00940634056404115,-9.02576080984234,4277,0.9919261956761016,0.38492304853127257,
"MIN(BOUND(($high * $return), -3, 3), COUNT(($return >= 0), 63))",random-grammar-seed3,-0.014547960195056352,-7.794165999482975,4465,-0.01545751257035265,0.41337912157047974,
"BOUND(($return * $open), -3, 3)",random-grammar-seed3,-0.014234404793777924,-7.6828573624611245,4527,-0.01317448020307287,0.4224746941912304,
"MIN((TS_CORR(($volume + $dollar_volume), $low, 3) * CS_ZSCORE(($return + $volume))), $close)",random-grammar-seed3,0.006036297013643646,7.1073988690746335,4526,0.2678628787829502,0.422885730085569,
"POWER((TS_CORR($open, ($return - $high), 63) * (IF_ELSE(($return >= 0), $close, ($volume - $volume)) * COUNT(($low >= $return), 252))), 2)",random-grammar-seed3,-0.010754295077315236,-6.921596567332154,4275,0.22456383564252114,0.38346771045263633,
"(ZSCORE($close) * MIN($open, ($close - $return)))",random-grammar-seed3,-0.0069638565220079204,-6.50522707860683,4527,0.9862266283177304,0.4224746941912304,
"BOUND(TS_CORR(($close + $open), IF((SIGN($open) <= ($dollar_volume + $low)), $close, ($low - $return)), 10), -3, 3)",random-grammar-seed3,-0.008134846140139726,-6.071861330814002,4519,0.782121108564986,0.4210660735360637,
"CS_RANK((COUNT(($open <= 0), 3) - BOUND($return, -3, 3)))",random-grammar-seed3,0.012833216196975418,5.8706125222094485,4526,-0.019153285365740264,0.42228008127799255,
"MAX(TS_COV($dollar_volume, $volume, 10), $close)",random-grammar-seed3,-0.008410577452786732,-5.015795884027272,4519,0.8647745939134587,0.42184891301331895,
"(TS_COVARIANCE(($open - $volume), ($high - $open), 21) - MIN(($dollar_volume - $dollar_volume), ($open + $close)))",random-grammar-seed3,0.006992054366333384,4.663855877061056,4508,0.9458476798638473,0.4191674361490906,
"TS_ARGMAX($low, 3)",random-grammar-seed3,0.007087046451264002,4.585185459967307,4526,0.3740643679634538,0.4229546447378694,
"(((TS_COVARIANCE(($open - $open), ($high * $high), 63) - COUNT((TS_COVARIANCE(($return - $return), $return, 3) < ($open + $close)), 5)) + MIN(($dollar_volume - $close), ($volume + $close))) + (MIN($open, ($high - $close)) * COUNT(($open < 0), 3)))",random-grammar-seed3,-0.008459215712087525,-4.4902891578413975,4466,0.56227994716066,0.4120009575781275,
"IF((TS_COVARIANCE($volume, $volume, 3) < $low), (MIN(($return + $open), $open) - BOUND($return, -3, 3)), COUNT((LN(($open * $volume)) > $low), 63))",random-grammar-seed3,-0.00697465760427186,-3.866608595328257,4466,0.9977962766620667,0.4120009575781275,
"(POWER(IF(($open > 0), $dollar_volume, ($close * $close)), 0.5) * IF(($low > 0), $close, ($close * $open)))",random-grammar-seed3,-0.005699350284060767,-3.7202208775627286,4528,0.8335843633207001,0.42263588220756604,
"TS_CORR(BOUND(($return * $close), -3, 3), IF_ELSE((($volume * $low) <= 0), ($close - $dollar_volume), ($return * $high)), 252)",random-grammar-seed3,0.006840296410289538,3.7085610853906212,4276,0.9918009698928405,0.3847779922219361,
"(DELTA($return, 63) / (IF_ELSE((BOUND(($return - $high), -3, 3) >= 0), $low, $close) + 1e-8))",random-grammar-seed3,-0.0070881763686979245,-3.658387383722749,4464,-0.022524305793810154,0.4133069805767795,
"IF((($close * $return) <= $dollar_volume), ($dollar_volume * $close), $low)",random-grammar-seed3,-0.005303630862549681,-3.4114446135811014,4527,0.6611414020691506,0.4231148003249571,
"IF_ELSE((($open * $low) <= 0), IF_ELSE(($high < $open), $dollar_volume, $volume), $close)",random-grammar-seed3,-0.005105096326749361,-3.3960452967926167,4528,0.9901414454168753,0.42263588220756604,
"(LOG(POWER($return, 0.5)) / (TS_CORR($return, ($open * $close), 63) + 1e-8))",random-grammar-seed3,-0.004610078561054132,-3.3123807769175206,4328,0.022969190989579336,0.20955487458243074,
"TS_COV(TS_MIN(($dollar_volume - $high), 3), $dollar_volume, 63)",random-grammar-seed3,-0.005443021360546446,-3.2482202113639387,4464,0.9863007417122767,0.41319870455940116,
"(COUNT((($close - $close) <= 0), 63) - TS_MEAN($high, 10))",random-grammar-seed3,-0.006002093447942054,-3.1288184599628868,4466,0.9986996814311563,0.4135316629918638,
"POWER(BOUND($open, -3, 3), 1)",random-grammar-seed3,0.00466415969704597,3.046143015642139,2022,0.8170408302569346,0.42263588220756604,
"(TS_SUM($low, 3) - ABS(SIGN(TS_COVARIANCE(($dollar_volume * $open), $open, 63))))",random-grammar-seed3,0.005899433291198325,3.0203461190877348,4466,0.995591034122855,0.4120009575781275,
"((TS_MAX($low, 3) - COUNT(($low >= 0), 10)) + MIN(($low * $dollar_volume), $high))",random-grammar-seed3,0.005672020412544243,2.95966890191607,4519,0.995867141272674,0.4218446542426712,
"IF_ELSE(($volume > 0), CS_RANK($open), $low)",random-grammar-seed3,0.005656780854274619,2.9458786945056756,4528,0.9869350437541954,0.42263588220756604,
"MAX($dollar_volume, COUNT(($close >= 0), 63))",random-grammar-seed3,-0.004669927675353425,-2.9334304249727765,4466,0.5743516732630501,0.4135359217625116,
"MAX($low, TS_CORR(($high * $close), $open, 5))",random-grammar-seed3,0.005643430482636764,2.9166941295157094,4524,0.9889826211777741,0.42193099113853066,
"IF((($volume - $dollar_volume) > 0), TS_SUM(IF((($volume + $high) < ($high - $high)), $dollar_volume, ($low + $dollar_volume)), 63), $low)",random-grammar-seed3,0.005604692683654864,2.8998303334446835,4528,0.9810451978204048,0.4232763755022607,
"POWER(($high + $high), 0.25)",random-grammar-seed3,0.005438260394983959,2.8514582232887324,4528,0.9888001579752407,0.4232763755022607,
